moive,sentence,score
닥터 스트레인지: 대혼돈의 멀티버스,닥터는 미러 디멘션은 어디다 팔아버렸고 히어로 무비 보러 왔는데 공포영화이고 사실상 챠베즈 영화 닥스2는 아직 안나왔다.,1
닥터 스트레인지: 대혼돈의 멀티버스,닥터는 미러 디멘션은 어디다 팔아버렸고 히어로 무비 보러 왔는데 공포영화이고 사실상 챠베즈 영화 닥스2는 아직 안나왔다.,1
닥터 스트레인지: 대혼돈의 멀티버스,레이미 스타일은 히어로물엔 전혀 안 맞네요 스파이더맨에서의 닥스와 여기의 닥스는 다른 세계관인지.. 어벤져스 완다랑 여기 완다도 다른 세계관인지..,2
신비한 동물들과 덤블도어의 비밀,"배우들은 워낙 명배우들이라 연기력은 좋았으나,스토리가 다소 아쉽고 흥미진진한 몰입감이 부족하지 않았나싶습니다.1편이나 2편이 정말 재밌었다는 느낌입니다",6
닥터 스트레인지: 대혼돈의 멀티버스,최근들어 한두번이야지... 모든게 고갈되고 CG말고는 보여줄게 없는 미블이 이젠 기대도 안된다. 뻔한 영화에 PC 떡칠까지하는 디즈니는 어찌되려고 이러냐,1
블러드 레드 스카이,평점이 낮은 이유가 있음,1
닥터 스트레인지: 대혼돈의 멀티버스,"개개인의 취향에 따라 의견이 다소 엇갈릴 수 있으나, 필자는 마블 팬임에도 불구하고 실망과 동시에 허무했음. 어쩌면 팬이라 얻은 감정일수도 있다고 생각도 함. 가장 큰 실망감은 아무래도 약한 스티븐의 모습이 아닐까함. 전작인 닥스1부터 엔드게임까지 스티븐의 모먼트는 우리의 눈과 귀를 즐겁게 해주었는데, 이번 스티븐의 모먼트는 위의 감정을 느끼게 함. 우린 upgrade 를 기대하며 즐기고, 그에 반대인 downgrade는 언제나 실망의 요소가 된다. downgrade 된 스티븐의 모습은 꽤나 실망스러웠다.",4
아임 유어 맨,"&amp;#39;그건 일종의...용해야. 네가 녹아서 더 큰 것의 일부가 되는 느낌이야.&amp;#39; 로봇남은 코를 고는 연기를 하고, 인간 여주는 그런 남자가 추울까 이불을 덮어주고 조용히 주방에 가서 밥상을 차리며 인간처럼 대할 때 로봇과 인간의 경계는 모호해진다. &amp;lt;그녀&amp;gt;와 비교하며 보면 좋다.",7
닥터 스트레인지: 대혼돈의 멀티버스,재미는 있었는데 닥스가 주인공같지 않고 완다가 주인공 같았음 개인적으로 완다 싫어하는데 자기애들 보고싶다고 선한 사람들 다 죽여대는게 말이 되냐 이유부터가 너무 단순해서 어이가 없더라 히어로들 마법사들 전투력이 약해서 깜짝놀람 왜 완다 얘기를 닥스에서 풀어대냐고 진심 짜증남 내가 젤 좋아하는 닥스인데 이런식으로 빅엿을 주다니 ,5
스펜서,의상이며 영국왕실 주방이 멋졌지만웬지 지루해요  ,6
닥터 스트레인지: 대혼돈의 멀티버스,마블식 공포영화 첫 경험했습니다.,6
닥터 스트레인지: 대혼돈의 멀티버스,마블CG 기술을 빌린 B급 공포 영화,6
앵커,그럭저럭 볼만한 스릴러 영화,7
속닥속닥,좀 무서운 느낌은 나는데 잘만들었다면 좋았을텐데 아쉽네여,4
닥터 스트레인지: 대혼돈의 멀티버스,비주얼에 심취해 스토리를 놓아버리다.,6
수퍼 소닉2,매력있고 귀여운 캐릭터들!,7
앵커,그럭저럭 긴장감 있게 봤다,7
배드 가이즈,재미없었습니다...,1
우연과 상상,"마지막  챕터가 생각보다 너무 순한맛이라 당황했는데, 기분좋은 마무리라 좋았다",7
닥터 스트레인지: 대혼돈의 멀티버스,완다비전은 꼭 보고 가라. 업데이트를 다하고 가도 아주 갓작까진 아니고 그냥 볼만한 수준. 이유없는 PC요소가 심히 거슬림,6
감기,진짜개빡치게하네아오,2
닥터 스트레인지: 대혼돈의 멀티버스,언제부터 마블이 좀비영화가된거야...,6
이상한 나라의 수학자,"스카이 캐슬과 북한이라,,, 옆구리 터져서 곱창 새는데 도저히 막을 길이 없네. 마지막에 겨우 스카치 테이프로 상처 막고 끝내네.남학생 연기는 좋음.",3
닥터 스트레인지: 대혼돈의 멀티버스,"실망이 크다, 설날 특선으로 해줘도 끝까지 안볼듯. 참고로 최근 스타이더맨편 빼고 모든 마블영화 다 재밌었던 1인.근데 연기는 미쳤음 진짜.완다 연기 진짜 미쳤음, 절대 깔수가 없음.",4
닥터 스트레인지: 대혼돈의 멀티버스,닥스1에 비하면 정말 허접한 수준입니다 그나마 볼만한게 특수효과지만 이것도 1에 비하면 그닥... 닥스가 주인공이 아니라 챠베스랑 스칼렛위치가 주인공인줄 알았습니다.,6
스텔라,이뭔 쓰레기 같은 영화냐 온갖 클리세는 다 같다쓰고 되도 않는 코미디에 어설픈 신파도 넣고 인터스텔라랑 두글자차이가 아니라 발톱의 때만큼도 못하네 이영화에 감상포인트가 어디있다고 누르라는거야,1
닥터 스트레인지: 대혼돈의 멀티버스,호러와 코미디의 접점에서 샘 레이미의 장기가 드러난다.,7
신비한 동물들과 덤블도어의 비밀,아. 선생님. 제가요 선생님의 그런 &amp;#39;비밀&amp;#39;취향에는 관심이 없구요.저는 그냥 신비한 동물들이 더 보고 싶었거등요. 하아.,2
닥터 스트레인지: 대혼돈의 멀티버스,2번째 쿠키영상 대박이던데닥스3이랑 이어지는 내용임,7
닥터 스트레인지: 대혼돈의 멀티버스,이 영화의 스토리가 탄탄하다고 여겨지는게 신기할 따름이다.,1
닥터 스트레인지: 대혼돈의 멀티버스,마블영화로써도 최악 삼류 공포영화로써도 최악.. 전작 닥스1에 비해 너무 노잼.. 뇌절 뇌절을 넘어 마블 손절각을 만든 최악의 작품..,1
우연과 상상,&amp;lt;드라이브 마이 카&amp;gt;에 비해서는 심심한 언어 마법. 홍상수가 떠오른 건 우연일까.,6
닥터 스트레인지: 대혼돈의 멀티버스,마블 왜 이래 개실망함 ㅜㅜ,1
니 부모 얼굴이 보고 싶다,엔딩 타이틀의 절묘한 섬뜩함. 하지만 5년간 기다린건 이게 아니었다.,5
나의 흑역사 로맨티카,"모두 갖춘 엄친아 부자남과 시한부 여주의 로코 스토리 진행 수없이 반복된 K드라마처럼 뻔하고 클리셰 범벅. 알록달록 쁘띠 미장센에 프랑스 영화인가 했지만 이탈리아 영화였고. 귀여운 (차별적)여성 캐릭터 문화형은 아시아 종특 아닌가 싶지만 유럽에서도 오리엔탈 오타쿠 넘어 슬슬 대중화. 빨간 머리 가야 마샬레Gaja Masciale 아름다워.핸드폰절도&amp;유기, 스토킹, 남성탈의실 무단침입 및 절도 등이 시한부 숙녀의 치기 어린 로맨스로 치장되는 시대에 뒤떨어진 로코. 남자는 처녀인지 묻질 않나...",4
서울괴담,한번쯤 들어본 듯한 뻔한 스토리들...,2
서울괴담,와 세상 이렇게 지루한영화는 처음언제끝나나 빨리끝나기를 바람,2
고스팅 글로리아,유령과 접선한 21세기 감성 파니핑크,7
닥터 스트레인지: 대혼돈의 멀티버스,말할수없는 비밀 + 예토전생 + 일루미나티 = 매직키드 마수리,5
야차,어거지로 한국 미션임파서블킬링타임으로 보기좋은영화임,7
닥터 스트레인지: 대혼돈의 멀티버스,그냥 집에서 보세요..,5
우리가 사랑이라고 믿는 것,꽤 있을 법한 황혼의 파경을 시의 표현을 빌어 우아하게 그려냄. 부부의 행동이나 처신의 우아함이 아닌 다 자란 자식을 통해서 보여지는 그 과정이. 캐릭터에 딱 맞는 배우들의 연기도 볼 만. 그나저나 저 커플은 시작부터 아니었을 듯 싶음,6
시동,"일반적으로 생각하는 흐름은 아니지만, 이 전개도 나쁘지 않은 것 같네요.",7
시동,"일반적으로 생각하는 흐름은 아니지만, 이 전개도 나쁘지 않은 것 같네요.",7
뜨거운 피,주연급 배우 가지고 겨우 이정도?? 영상미도 전혀 없고 감독 너무 착하게만 살아서 느와르가 준나착한 느와르가됨,2
남자들이 모르는 은밀한 것들,시대 배경을 풍자한 영화인듯,6
닥터 스트레인지: 대혼돈의 멀티버스,장르가 되어버린 마블이 호러와 외도로 인해 모든 마블의 역사가 무너져버린 계기가 된듯하다.,4
닥터 스트레인지: 대혼돈의 멀티버스,1점 영화는 아니었으나 평점이 높아서 1점 줌,1
셰이프 오브 워터: 사랑의 모양,"물의 형태를 그릴 수 없듯 그렇게 너는, 정형없이 모든 것에 적중한다.",5
신비한 동물들과 덤블도어의 비밀,음.. 해리포터시리즈라 의리로,6
닥터 스트레인지: 대혼돈의 멀티버스,별로던데요 그냥 좀 그랫어요,1
닥터 스트레인지: 대혼돈의 멀티버스,미친듯이 사랑했던 전 여친이 마약중독자 연쇄살인마가 되서 나타나면 이런 기분일까? 내가 사랑했던 마블은 이제 죽었다.,1
닥터 스트레인지: 대혼돈의 멀티버스,영상미 이외에는 정말 지루한 영화.. 기대는 많이 하고 가지 마세요. 후회합니다ㅠ,4
닥터 스트레인지: 대혼돈의 멀티버스,진심으로 솔직하게 해리포터와 마법사의 돌이 더 박진감넘치고. 모든 면에서 월등하다 생각합니다,2
닥터 스트레인지: 대혼돈의 멀티버스,보다가 어이가 없어서 피식거림,1
니 부모 얼굴이 보고 싶다,집중하여 잘 보려 하였으나 문소리씨 연기에 집중이 너무 안되었어요 개인적으로 연기를 너무 못해서 몰입을 못하겠더라구요 ,4
닥터 스트레인지: 대혼돈의 멀티버스,진입 장벽이 낮지는 않은 느낌,4
닥터 스트레인지: 대혼돈의 멀티버스,히어로 영화를 양지로 끌어올린건 MCU이지만 음지로 집어넣을것도 MCU일거라고 느꼈다.,4
닥터 스트레인지: 대혼돈의 멀티버스,진짜 재미없어서 도중에 나가고싶었어요 ,1
할로윈 킬즈,앤 먼짓을 해도 안 죽으니 핵으로 죽여햐할듯 ㅋㅋㅋ,1
스파이더맨: 노 웨이 홈,스파이더맨 ㅈㄴ답답하네,6
닥터 스트레인지: 대혼돈의 멀티버스,완다의 사연으로 영화를 끌고가는건 무리수였다.이제 마블 안 볼거다. 배우들 연기가 아까웠다ㅠㅠㅠ베네딕트....ㅠㅠㅠㅠ,2
앰뷸런스,질렌할이 윽박지르는 연기는 여기서도 하드캐리하고 액션은 역시 마이클베이 영화라 개쩔긴하는데 뜬금포 던지는 신파와 착한사람은 죄지어도 용서받는다와같은 역시나스러운 엔딩이 좀 별루였음,6
새해전야,매우 평이하고 예측 가능한 스토리를 보여준다,6
노바디 ,존윅3보다 나으니 성공한 편이라고 볼 수 있는 영화,6
히트맨,의외로 정준호는 이런 역할이 잘 어울리네요.,5
닥터 스트레인지: 대혼돈의 멀티버스,호러전문 감독과 디즈니식의 유치한 갬성 멀티버스로 판 키우고 정신 없어진 마블 페이지4  셋이 아주 신이나서 엉키고 설키고 ,7
닥터 스트레인지: 대혼돈의 멀티버스,소소입니당ㅎㅎㅎ^^,6
닥터 스트레인지: 대혼돈의 멀티버스,뭐가뭔지 하나도 모르겠는영화 마블영회가 맞나..?,2
뜨거운 피,보는내내 음향때문에 스트레스중간중간 나오는 음악소리만 갑자기 크고말도 무슨말인지 웅얼웅얼 ㅠㅠ자막없이 못보겠어요하 보다가 짜증나서 평점쓰러왔어요..아쉬워요,4
니 부모 얼굴이 보고 싶다,가해자 부모들의 추악한 민낯,6
콜레트,감동도 재미도 없음....,1
봄날,뻔한 스토리라 식상하다고 생각하는데 배우분들 연기는 좋은거 같아요,6
샹치와 텐 링즈의 전설,중국자본 영화는 아닐 것이라는게 결론. 남매주인공 캐스팅 담당이 누구였는지 몰라도 안티차이나 아니었을까 싶음 - 머슴 페이스와 카타기리 하이리 동생. 벤킹슬리 출연시점부터 코미디로 전환하더니 룡 출연부터는 디-워 재방영인줄. 빌런 캐릭터도 무쓸모였지만 민망하기 그지없는 양조위의 영어 입놀림은 누가 좀 어떻게,1
배드 가이즈,드림웍스 배드가이즈 재밌어요~,6
코쿠리코 언덕에서,&amp;#39;지브리의 여름&amp;#39;을 보기 위해 보는 영화 그 이상도 이하도 아님.,2
니 부모 얼굴이 보고 싶다,나쁜놈들을 너무 많이 다뤘다.,7
닥터 스트레인지: 대혼돈의 멀티버스,시각적으로는 풍부하다.,7
닥터 스트레인지: 대혼돈의 멀티버스,대혼돈의 유치찬란가여운 닥터,2
미스컨덕트,영화가 좀 답답한 면이 있다 이병헌은  무슨 역(형사도 아니고 변호사도 아닌것이)을 맡은 것인지도 모르겠고 죽은 여자 에밀리(말렌 애커맨)는 약 먹고 자살한건지 아니면 죽임 당한건지.. 도대체 무슨 내용의 영화인지...이병헌은 주연급 조연 인가보네 ㅋㅋ그리고 밤 거리에서 오토바이를탄 이병헌과 남주와 마주쳤는 데 서로 싸우는 영상은 안나오고  영상이 바뀌더니 갑자기 허물어져가는 어느 교회안 바닥에  남주는 쓰러져 있고 ㅋ  교회 안에서도 이병헌과 남주가 서로 싸우는 영상은 별로 안나오고그래서 아마  평점이 6.22가 나왔나보네 ,4
야차,칠광구가 더 재밌습니다,2
로스트 시티,"팝콘무비. 산드라블록을 좋아해서 그럭저럭 잘봤고 , 하고싶은 연기 다할수 있다는 (구)해리포터의 재력이 부러워졌다. 그리고 채닝 테이덤의 대단한...거머리 그거면 됐지",6
닥터 스트레인지: 대혼돈의 멀티버스,유치했어요...마블팬인데 정신없고 유치했어요특히 완다ㅋㅋㅋ아니 악역인데 왜 모성애가....,6
허삼관,그냥저냥..딱 그냥저냥임,6
닥터 스트레인지: 대혼돈의 멀티버스,난 좀비영화인줄 알앗다규,6
닥터 스트레인지: 대혼돈의 멀티버스,CG팀을 갈아넣어서 영상미가 좋은 구린 영화주체를 알 수 없음공포영화인건지 코믹인건지 납득 불가그냥 구림,2
베놈 2: 렛 데어 비 카니지,90분짜리 사랑과 전쟁,5
악인전,"권선징악? 과정은 과정일 뿐, 깡패 NoNo! 양아치 같은 견찰의 고구마 먹망에 공감가지 않는 조폭 두목의 행보. ",4
닥터 스트레인지: 대혼돈의 멀티버스,마블은 엔드게임에서 끝났어야했다 ㅋㅋㅋ,6
닥터 스트레인지: 대혼돈의 멀티버스,"진짜 최악 …… 무료로 봤는데도 아까울 정도 ,, 스토리 갑자기 뭐지??? 이생각을 계속 했어요. 공포물 아니면서 일부로 놀랄 포인트 자꾸 만들고 마지막엔 좀비처럼 …. 이게 뭔가 싶어요 ….  시간이 너무 아까움. 스토리도 허무하고 시작부터가 불친절함하고 내용이 진행될수록 정리가 아니라 산만하다. 그냥 이 히어로 저 히어로 포함시키기 급급했던 영화,, 마블 제발 영상도 중요한데 스토리도 챙겨주세요..  대부분 나오면서 기대안하고 봐서 다행이라고 하시더라고요 ㅎㅎ ",2
닥터 스트레인지: 대혼돈의 멀티버스,개인적인 생각에는 이번 영화는 조금 아쉽다고 생각을하고있다,7
닥터 스트레인지: 대혼돈의 멀티버스,6.5가 없어서 7점을 준다  영상미는 진짜 좋다 그리고 멀티버스 세계관을 본격적으로 차용해서 보여줬는데 나쁘지 않았다.  그 외에는 실망의 연속           유치한 스토리와 삼류엑스트라 같은 이세계 어벤져스..  공포물로 가면 그걸 극대화 시키지 싸구려 코미디를 얹어서 몰입을 깨지게 하질 않나 그리고 주인공이 완다가 아닐까 싶을 정도로 완다에 힘을 많이 주는데 정작 완다의 캐릭터 매력은 잘 살리지 못한 느낌 평점 변경함- 10점 쳐주면서 별점 낮게 준 사람보고 비아냥 거리고 인신공격하는 댓글들을 보고 역겨워서 바꿈 ,6
닥터 스트레인지: 대혼돈의 멀티버스,찐마블팬이면 모르겠으나... 드라마인지뭔지 안보면 졸리더라 ,2
닥터 스트레인지: 대혼돈의 멀티버스,망 언제 끝나나만 두시간 내내 생각했음,1
닥터 스트레인지: 대혼돈의 멀티버스,"옛날 마블만 해도 재미있었는데확실히 망해가는게 보이네요,, 개연성이 맞지도 않고 참..그래도 전투씬 음표배틀은 참신해요",4
닥터 스트레인지: 대혼돈의 멀티버스,유치한 장면이 많이 나와요~스토리도 별로고,4
닥터 스트레인지: 대혼돈의 멀티버스,"마블영화, 시리즈 포함해서 가장재미없었던 영화.마블 좋아해서 디즈니플러스 가입해서 완다비전, 로키 등등 빠짐없이 봐서 닥스2 내용은 다 이해하지만 연출이나 스토리가 너무 정성이 없었음. 액션도 부족, 내용도 유치+허술하고 쥐어짜낸 느낌. 멀티버스를 너무 집착하는 것 같음. 죽은자 드림워킹할 때 영혼들 나오는것도 어이없고.. 아무튼 재미도 감동도 없었음.유튜브에서 요약본 보길 추천",3
닥터 스트레인지: 대혼돈의 멀티버스,음표는 좀…ㅠ 그래도 나름 재밌게 봤어요. 다른 세계의 나는 더 잘지내고 있겠죠?ㅎㅎ,7
닥터 스트레인지: 대혼돈의 멀티버스,호불호가 갈리는게 신기할 정도로 저는 별로였습니다. 스토리에 개연성이 부족하고 연출이 유치하다는 생각이 종종 들었어요. 물론 재밌게 보신 분들의 의견은 존중합니다.,4
니 부모 얼굴이 보고 싶다,B급을 넘어선 C급영화 배우들은 좋은데 전개도 개판이고내 인생 처음으로 영화보다가 나왔다 하.. 돈날렸어..,2
닥터 스트레인지: 대혼돈의 멀티버스,유치뽕짝 코스튬도 왜 촌스러워진거같은..!,4
4인용 식탁,관객수 8명? 아무리 외면당한들 이럴 가능성은 희박한데,6
배드 가이즈,세련되지만 너무 매끄러움,7
닥터 스트레인지: 대혼돈의 멀티버스,이게 마블영화 맞나싶다,6
침묵,부성애는 그렇다 치는데 .. 유나 골수팬이 아빠를 도운것도 그렇고.. 엄한사람이 벌받게 두고 보는것도 이해안됨,6
제8일의 밤,평점 1점도 아깝다 어디서 일본공포영화에서 본 장면들만 주구장창 나옴 ㅋㅋㅋㅋ  진짜 이 영화 10점준 놈들은 나 혼자 당할 수 없으니 니들도 당해봐라 심보로 준거임 ㅋㅋㅋㅋ,2
닥터 스트레인지: 대혼돈의 멀티버스,"기존 캐릭터들 말고는 매력이 아무것도 없음극 초반에 완다랑 닥터스트레인지는 너무 유치했음 완다한테 죽은 일루미나티는 뭐 캐릭터성도 없고 그냥 잔인하게 개 죽음 당하고 끝 그 장면으로 뭐 얻어내는게 없는것 같음 그 후로도 그냥 초능력자들이 나오는 공포영화 만들어놨다가 좀비....좀비는 그렇다침 왜냐면엔딩은 진짜 괜찮았음 맘에 들고 억지 없었음또한 연출도 좋았음 눈이 즐거움하지만 진짜 톰홀랜드 스파이더맨 보고 마블,소닉 빠진 애들 보고 울었을뜻 나도 영화보면서 심장 아팠음 쓸때없이 갑툭튀 분위기 만들고 짜증났음 평범한 엔딩 만들어줘서 살았다 ㄹㅇ",6
닥터 스트레인지: 대혼돈의 멀티버스,와..마블보면서 처음으로 심하게 웃었다..,4
배니싱: 미제사건,긴장감 없는 스릴러에 뜬금없는 로맨스 끼얹기,4
닥터 스트레인지: 대혼돈의 멀티버스,1편에 비해서는 전개가 약간 산만해서 아쉬워요. 재밌지도 재미없지도 않은 애매한 느낌,7
신비한 동물들과 덤블도어의 비밀,아쉬움도 남지만 마음에 드는 장면들도 있어서 평을 내리기 어려움,7
닥터 스트레인지: 대혼돈의 멀티버스,이거 등급 만든 사람 누구냐?12세치고 너무 잔인해서 깜놀했네,5
B컷,정말 충격적으로 재미없다,3
닥터 스트레인지: 대혼돈의 멀티버스,"여러 장르를 어울리지도 않게 짬뽕시킨 괴작.... 스토리 진행과 큰 관련 없이 흐름을 깨트리는 많은 등장인물(아무리 마블코믹스 팬들을 위한 서비스라고 하더라도 과함), 촌스럽고 정신없는 연출... 마블이니까 그나마 사람들이 보는거지...",1
더 룸,(6.5점) 무난한 스릴러,6
닥터 스트레인지: 대혼돈의 멀티버스,블록버스터 B급공포물.   절뚝거리며 쫒어가야만 했냐?,6
테이큰 2,이 영화를 보면서 느끼는 건 버지년들은 써먹을데가 단 하나라는 거다! ,4
스텔라, ....이게뭔      ㅡㅡ      ,1
닥터 스트레인지: 대혼돈의 멀티버스,ㅅㅂ;; 한글 읽을줄 아는데 뭔소린지 모르겠음 참고로 4년제 대학나옴…,4
닥터 스트레인지: 대혼돈의 멀티버스,"뒤도 안볼것만같던 악당이 설득력 없는 결말을 맞이하며 개연성은 멀티버스와 함께 대혼돈으로, 이제 토르만 남았구나....",5
닥터 스트레인지: 대혼돈의 멀티버스,영화를 중심으로 떡밥을 쌓아야하는데떡밥을 토대로 영화를 만드는거 같애,6
닥터 스트레인지: 대혼돈의 멀티버스,이터널스는 짱께 쫘오가 다큐를 만들더니 이번에 호러 좀비물이냐~~ 도체 마블은 어디 간그냐~???케빈뽜이기는 정신 챙기면 좋큿다~~,2
굿 셰퍼드,"개연성이 떨어지는 장면들이 있어서 좋은 각본이라고 평가해줄 수 없지만, 감독의 표현력, 연기자들의 연기력, 카메라맨의 카메라 워크가 훌륭한 첩보 영화를 만들어냈다. 그리고 CIA의 일면을 알 수 있어서 좋았고, 그들의 메시지를 확실히 알 수 있어서 소장하는 영화다.",6
버블,재미가 없다 왔다갔다 어중간한 스토리,4
닥터 스트레인지: 대혼돈의 멀티버스,중간중간 나오는 옛날감성 BGM과 연출이 좀 아쉬웠었네요 호불호가 갈리겠지만은  히어로영화인데 호러영화 보는듯한 깜짝깜짝 놀래키는 연출또한 아쉬웠습니다.. ,7
신비한 동물들과 덤블도어의 비밀,간만에 간 극장에서 깜빡 졸 뻔 했습니다. 신비한 동물 나올 때만 눈이 반짝!,6
니 부모 얼굴이 보고 싶다,아니 다들 댓글알바인가??전개도 뚝뚝 끊기고 중간에 나가고싶었던 영화는 이게 처음이다,2
닥터 스트레인지: 대혼돈의 멀티버스,최근 마블에 정이 떨어져서 그런건지 그냥 재미가 없네요. 오랜 만에 잘 잤습니다,1
닥터 스트레인지: 대혼돈의 멀티버스,경악을 금치못함 ....,1
닥터 스트레인지: 대혼돈의 멀티버스,아.. 돈내고 잠 자게 만드는 영화피곤은 풀리게 해주는 영화제목이 찰떡이라  2점  피곤이 풀려서 1점 추가 총합 3점대혼돈 그 자체,3
닥터 스트레인지: 대혼돈의 멀티버스,마블 팬은 아닙니다만. 마블 영화 종종 봤음. 1편은 잼나게 봤는데 2편은 중간에 진짜 스토리 풀어나가는게 억지스러움 2시간 영화지만 1시간 정도 전개 상 불필요한 내용이 나와서 충격받음. 정말 실망해서 앞으로 안볼거임.,2
언차티드,어쩜 보물찾기 영화는 플롯이 이렇게 같을까 벗어나질 않네 킬링타임용으론 괜찮,6
닥터 스트레인지: 대혼돈의 멀티버스,이 영화를 보고 봉준호가 정말 장르 결합을 잘하는 감독이라는 것을 느꼈다. 주인공만 진지했던 음표전투씬은 20년 전 쿵푸허슬보다 촌스러웠다,7
닥터 스트레인지: 대혼돈의 멀티버스,1. 완다의 감정에 이입되면서 다소 슬픈 부분도 있었음2. 영화의 후반부에 닥터스트레인지와 악의 정령이 하나가 되는 장면 지렸다...3. 마지막 쿠키는 꼭 보시길,7
닥터 스트레인지: 대혼돈의 멀티버스,내가 알던 마블이 맞나... 12세가 보기엔 좀 징그러운 장면도 좀 나오고 멋있게 보일려고 하는 장면에선 헛웃음이 남ㅋㅋㅋ유치하고 올드하단 말이 딱 맞는듯 ,6
서울괴담,"별로 무섭지는 않았지만, 아이돌 배우 보는 재미로 봤다.",6
타짜 전설의 땁,오지호 요즘 어려운가...,2
닥터 스트레인지: 대혼돈의 멀티버스,"최악, 최악, 최악 그자체였음...호러 도전은 그렇다 쳐도 시대에 맞지 않은 B급 연출은 보는 사람들을 코웃음 치게 만들고 제목 그대로 혼돈스러운 전개들은 이제 막 마블 영화를 보려는 사람이나, 조금 보던 사람들을 다신 마블 영화를 볼 수 없게 더더욱 진입장벽을 높였음.호불호 갈리는 것 뿐 좋은 영화라고들 하는데 그럼 예전에 다 같이 좋아하고 찬양하던 옛 마블 영화들은 뭐였음?어쨌든 예전보다 못 하다는 건 사실이란 거임.별 의미 없는 사상 다툼이나 하면서 캐릭터 훼손시키고 마블이 스스로 찬양하는 멀티버스? 그건 원작대로 따라간다고 해도 그거 자체가 마블의 단점이기 때문에 넣나 뺐나 최악인 건 매한가지.스스로 진입장벽 높이고 의미없는 스토리 늘리기에 불과해짐.세계관 확장, 캐릭터의 다양성을 위한 게 아니라 걍 어떻게든 돈 벌려고 억지로 연재하는 웹툰 같은 느낌이라는 거임.캐릭터의 다양성은 신캐로 하면 되고 세계관 확장은 굳이 확실히 정리할 수도 없는 멀티버스보다 좋은 방법이 있었을 터.정말 이제 슬슬 마블 영화라고 하면 큰 결심을 해야만 볼까 말까 하는 수준이 됐음...",1
이상한 나라의 수학자,90년대 영화 스토리네요...,4
닥터 스트레인지: 대혼돈의 멀티버스,마블치고 머이리 재미가 없지?,4
스프링 블라썸,잔잔함. 초반부에 전개되던 스토리는 어느순간 끊겨 별내용이 없다는 점은 아쉬움,6
프랙처드,붕어 낚시꾼의 입장에서 비유를 하자면...밑밥이 과함. 과도한 밑밥투척은 수질 악화를유발할 수 있음. 그럼에도 볼만한 영화임에는 분명함.,7
오늘부터 우리는!!,만화는 수도 없이 읽고 재미졌는데 실사를 대사도 동일. 화면도 만화 그림과 동일. 그게 실사니? 그냥 만화지? 진짜 보는내내 내가 다 창피했다. ,1
닥터 스트레인지: 대혼돈의 멀티버스,1.12세관람가에 맞지않는 잔인한 연출과 자극적인걸 좋아하게된 요즘문화. 등등 벌써 단순히 뭐어때로 치부하고 무감각하게 된 지금사회가 문제라서 보는 내내 걱정이 된 영화였음          2.기존의 마블영화와 다르게 새로운 마블영화의 연출시도와 멀티버스의 시작을 연것은 좋았으나 클로즈업기법이나 멈췄다 보여주는 깜놀기법이 과하게나와 연출에서 시간을 많이 잡아먹어 여러명의 닥터스트레인지의 시너지나 등등 멀티버스의 매력을 많이 못느낌 거기다 완다의 마무리는 이태까지 보인행태에 비해 거기다 완다의 상처가 많지만 아이를 진심으로 사랑하는 마음을 자세히 표현하면서 짓는 마무리가아닌 다소 생략된 빠른 마무리로 아쉬움이 많이남음..  감독의 욕심만큼 성공하진못한 영화 ,6
닥터 스트레인지: 대혼돈의 멀티버스,공포영환줄 알았어용ㅎ.ㅎ,7
이토록 뜨거운 순간,자루한 영화 스토리가 없어요,1
공기살인,평가조차 아까운 시간이라고 생각되는 영화,2
친구2,유오성 연기에 5점준다 친구1이 너무 대작이라 비교도 안되는 아류작...전편보다 나은 속편은 2022년에도 아직까지 터미네이터2밖에 없다 이해한다 그래서,5
닥터 스트레인지: 대혼돈의 멀티버스,노잼이다...벡터맨보는줄,2
특송,꼬마가 빌런 ㅋㅋㅋ,6
니 부모 얼굴이 보고 싶다,"모든 출연진이 연기의 신이라 해도 7광구, 싱크홀 감독인 김지훈의 능력앞에선 모두 제로가 된다. 감독아 제발 영화계를 떠나라. 무능의 극치다",4
닥터 스트레인지: 대혼돈의 멀티버스,일반적인 마블 영화 생각하면 불호일 수 있음완다가 너무 쎄니깐 싸움은 커녕 도망다니기도 힘듬그렇게 찾던 비샨티도 뭐 소용도 없고결국 잡을 방법이 없으니 갱생엔딩닥스 메인 영화들이 아쉬운게 빌런들은 스케일도 크고 우주적 존재 같은 애들인데 정작 주인공은 그냥 쩌리 취급이니깐 보는 맛이 없달까전작에는 타임스톤이라도 있는데 이번엔 아무것도 없으니...그리고 모르도는.. 딱하드라 마법 쓸 수 있는 상태에서 그냥 맨몸 닥스한테 지는거보면 진짜 그렇게 딱 할 수가 없다,6
애드 아스트라,불면증이 치료되었습니,2
애드 아스트라,도대체 뭘 말하고 싶은거야...아들이나 아버지나 멀쩡한 대원들 다 죽이고 하려던게 뭐냐고 도대체...,2
닥터 스트레인지: 대혼돈의 멀티버스,어쩔멀티버스.. 왜 멀티버스 영웅들은 흑인에 여자로 대체돼서 나오는지.. PC넣는데 멀티버스만큼 적당한 핑계가 없긴한듯 ㅋ,6
닥터 스트레인지: 대혼돈의 멀티버스,지금 우리 마블은ㅋㅋㅋ,6
이터널스,ㄱㅐ-ㅅㅅㅣ-ㅂㅏㄹ,1
